0                             	0.225906                      	0.0134287                     
200                           	0.230954                      	0.0136566                     
400                           	0.210784                      	0.0130723                     
600                           	0.224808                      	0.0135074                     
800                           	0.248821                      	0.0142708                     
1000                          	0.228006                      	0.0136504                     
1200                          	0.257671                      	0.0144722                     
1400                          	0.243954                      	0.0140613                     
1600                          	0.234406                      	0.0137886                     
1800                          	0.228826                      	0.0136506                     
2000                          	0.201926                      	0.0127455                     
2200                          	0.21804                       	0.0132206                     
2400                          	0.208997                      	0.0128873                     
