0                             	0.218713                      	0.013213                      
200                           	0.195744                      	0.0124802                     
400                           	0.217775                      	0.0132534                     
600                           	0.224294                      	0.0134522                     
800                           	0.245089                      	0.01408                       
1000                          	0.273726                      	0.0149776                     
1200                          	0.316364                      	0.0160403                     
1400                          	0.271215                      	0.0148849                     
1600                          	0.227453                      	0.0135687                     
1800                          	0.247326                      	0.0141387                     
2000                          	0.232351                      	0.0137152                     
2200                          	0.246711                      	0.0141035                     
2400                          	0.217745                      	0.0132027                     
