-1200     	0         	0         	6         	0.161352            	0.0806762           
-1200     	1         	0         	7         	0.0403381           	0.0403381           
-1200     	2         	0         	8         	0                   	0                   
-1200     	3         	1         	6         	0.121014            	0.0698677           
-1200     	4         	1         	7         	0                   	0                   
-1200     	5         	1         	8         	0.0403381           	0.0403381           
-1200     	6         	2         	6         	0.0403381           	0.0403381           
-1200     	7         	2         	7         	0.0403381           	0.0403381           
-1200     	8         	2         	8         	0.0403381           	0.0403381           
-1200     	9         	3         	6         	0                   	0                   
-1200     	10        	3         	7         	0.0403381           	0.0403381           
-1200     	11        	3         	8         	0.121014            	0.0698677           
-1200     	12        	4         	6         	0                   	0                   
-1200     	13        	4         	7         	0.0403381           	0.0403381           
-1200     	14        	4         	8         	0.0403381           	0.0403381           
-1200     	15        	5         	6         	0                   	0                   
-1200     	16        	5         	7         	0.0403381           	0.0403381           
-1200     	17        	5         	8         	0.121014            	0.0698677           
0         	0         	0         	6         	0.205436            	0.0918738           
0         	1         	0         	7         	0                   	0                   
0         	2         	0         	8         	0                   	0                   
0         	3         	1         	6         	0.123262            	0.0711651           
0         	4         	1         	7         	0                   	0                   
0         	5         	1         	8         	0                   	0                   
0         	6         	2         	6         	0                   	0                   
0         	7         	2         	7         	0.246523            	0.100643            
0         	8         	2         	8         	0.0410872           	0.0410872           
0         	9         	3         	6         	0.0821744           	0.0581061           
0         	10        	3         	7         	0.123262            	0.0711651           
0         	11        	3         	8         	0.0821744           	0.0581061           
0         	12        	4         	6         	0.0410872           	0.0410872           
0         	13        	4         	7         	0.0821744           	0.0581061           
0         	14        	4         	8         	0.164349            	0.0821744           
0         	15        	5         	6         	0.0410872           	0.0410872           
0         	16        	5         	7         	0                   	0                   
0         	17        	5         	8         	0.0821744           	0.0581061           
