0                             	0.199924                      	0.0282735                     
200                           	0.250012                      	0.0317516                     
400                           	0.224647                      	0.0300197                     
600                           	0.266142                      	0.0330109                     
800                           	0.261993                      	0.0327491                     
1000                          	0.299043                      	0.0350003                     
1200                          	0.339521                      	0.0372673                     
1400                          	0.271408                      	0.033408                      
1600                          	0.244012                      	0.0315018                     
1800                          	0.244995                      	0.0316287                     
2000                          	0.22589                       	0.0301859                     
2200                          	0.226772                      	0.0303037                     
2400                          	0.197473                      	0.0279268                     
